FamilyName,Fixture, WorkStation, Length, Time
SKYEPOOL,SKPLED,BODY ASSY HOUSING,2'x2'
SKYEPOOL,SKPLED,CUTTING EXTRUSION,2'x2'
SKYEPOOL,SKPLED,CUTTING LENS,2'x2'
SKYEPOOL,SKPLED,FINAL ASSEMBLY,2'x2'
SKYEPOOL,SKPLED,FINAL PACKAGING,2'x2'
SKYEPOOL,SKPLED,MILLING EXTRUSION,2'x2'
SKYEPOOL,SKPLED,MOUNTING KIT ASSEMBLY,2'x2'
SKYEPOOL,SKPLED,PUNCH EXTRUSION,2'x2'
SKYEPOOL,SKPLED,SUB-ASSEMBLY LED,2'x2'
SKYEPOOL,SKPLED,WIRING PREPARATION,2'x2'
SKYEPOOL,SKPLED,WIRE CUT AND STRIP,2'x2'
SKYEPOOL,SKPLED,SUB-ASSEMBLY HARNESS & WIRE,2'x2'
SKYEPOOL,SKPLED,WELDING,2'x2'
SkyeView,SKVLED,BODY ASSY HOUSING,2'x2'
SkyeView,SKVLED,BODY ASSY HOUSING,1'x4'
SkyeView,SKVLED,CUTTING EXTRUSION,2'x2'
SkyeView,SKVLED,CUTTING EXTRUSION,1'x4'
SkyeView,SKVLED,CUTTING LENS,2'x2'
SkyeView,SKVLED,CUTTING LENS,1'x4'
SkyeView,SKVLED,FINAL ASSEMBLY,2'x2'
SkyeView,SKVLED,FINAL ASSEMBLY,1'x4'
SkyeView,SKVLED,FINAL PACKAGING,2'x2'
SkyeView,SKVLED,FINAL PACKAGING,1'x4'
SkyeView,SKVLED,MILLING EXTRUSION,2'x2'
SkyeView,SKVLED,MILLING EXTRUSION,1'x4'
SkyeView,SKVLED,MOUNTING KIT ASSEMBLY,2'x2'
SkyeView,SKVLED,MOUNTING KIT ASSEMBLY,1'x4'
SkyeView,SKVLED,PUNCH EXTRUSION,2'x2'
SkyeView,SKVLED,PUNCH EXTRUSION,1'x4'
SkyeView,SKVLED,SUB-ASSEMBLY LED,2'x2'
SkyeView,SKVLED,SUB-ASSEMBLY LED,1'x4'
SkyeView,SKVLED,WIRING PREPARATION,2'x2'
SkyeView,SKVLED,WIRING PREPARATION,1'x4'
SkyeView,SKVLED,WIRE CUT AND STRIP,2'x2'
SkyeView,SKVLED,WIRE CUT AND STRIP,1'x4'
SkyeView,SKVLED,SUB-ASSEMBLY HARNESS & WIRE,2'x2'
SkyeView,SKVLED,SUB-ASSEMBLY HARNESS & WIRE,1'x4'
SkyeView,SKVLED,WELDING,2'x2'
SkyeView,SKVLED,WELDING,1'x4'
SkyeScape,SKSLED,BODY ASSY HOUSING,2'x2'
SkyeScape,SKSLED,BODY ASSY HOUSING,4'x4'
SkyeScape,SKSLED,CUTTING EXTRUSION,2'x2'
SkyeScape,SKSLED,CUTTING EXTRUSION,4'x4'
SkyeScape,SKSLED,CUTTING LENS,2'x2'
SkyeScape,SKSLED,CUTTING LENS,4'x4'
SkyeScape,SKSLED,FINAL ASSEMBLY,2'x2'
SkyeScape,SKSLED,FINAL ASSEMBLY,4'x4'
SkyeScape,SKSLED,FINAL PACKAGING,2'x2'
SkyeScape,SKSLED,FINAL PACKAGING,4'x4'
SkyeScape,SKSLED,MILLING EXTRUSION,2'x2'
SkyeScape,SKSLED,MILLING EXTRUSION,4'x4'
SkyeScape,SKSLED,MOUNTING KIT ASSEMBLY,2'x2'
SkyeScape,SKSLED,MOUNTING KIT ASSEMBLY,4'x4'
SkyeScape,SKSLED,PUNCH EXTRUSION,2'x2'
SkyeScape,SKSLED,PUNCH EXTRUSION,4'x4'
SkyeScape,SKSLED,SUB-ASSEMBLY LED,2'x2'
SkyeScape,SKSLED,SUB-ASSEMBLY LED,4'x4'
SkyeScape,SKSLED,WIRING PREPARATION,2'x2'
SkyeScape,SKSLED,WIRING PREPARATION,4'x4'
SkyeScape,SKSLED,WIRE CUT AND STRIP,2'x2'
SkyeScape,SKSLED,WIRE CUT AND STRIP,4'x4'
SkyeScape,SKSLED,SUB-ASSEMBLY HARNESS & WIRE,2'x2'
SkyeScape,SKSLED,SUB-ASSEMBLY HARNESS & WIRE,4'x4'
SkyeScape,SKSLED,WELDING,2'x2'
SkyeScape,SKSLED,WELDING,4'x4'
BEAM 4 LED,BBRLED,BODY ASSY HOUSING,4'
BEAM 4 LED,BBRLED,BODY ASSY HOUSING,8'
BEAM 4 LED,BBRLED,BODY ASSY HOUSING,12'
